latency,type,urevent,urtype,ID,ProblemItem,confidence,confidence_rt,difficulty,fluency,participant,response,response_time,confidence_level,epoch,Subject,ERN_FzCz,Pe_PzCz
14781,response,128,201,1,6 * 4 = 24,99.725,2.68088100687601,easy,high,cnf006,correct,0.950223830994219,high,42,cnf006,5.722384,4.411485
15139,response,131,200,21,16 * 4 = 64,1,3.5476456215838,hard,high,cnf006,error,1.166860061232,low,43,cnf006,4.861505,10.71725
15497,response,134,201,3,6 * 7 = 44,100,3.2636391276028,easy,low,cnf006,correct,2.13353654195089,high,44,cnf006,-3.43581,-7.204911
15855,response,137,200,29,17 * 8 = 136,1.36666666666667,2.88074450811837,hard,high,cnf006,error,1.45017828862183,low,45,cnf006,-2.914337,2.889038
16213,response,140,201,7,7 * 6 = 42,99.175,2.09785251854919,easy,high,cnf006,correct,1.0501700140303,high,46,cnf006,1.279008,-7.845221
16571,response,143,201,11,8 * 4 = 32,99.2666666666667,2.06444112176541,easy,high,cnf006,correct,0.966886552749202,high,47,cnf006,5.026762,-3.572191
16929,response,146,201,17,9 * 6 = 54,99.6333333333333,2.24803510471247,easy,high,cnf006,correct,0.783414122881368,high,48,cnf006,6.314997,2.154748
17287,response,149,201,25,16 * 9 = 146,1,2.91421331383754,hard,low,cnf006,correct,1.66730458009988,low,49,cnf006,-2.397159,-13.56844
17645,response,152,201,16,9 * 4 = 36,100,2.36477614659816,easy,high,cnf006,correct,1.53372409939766,high,50,cnf006,4.082607,5.790755
18003,response,155,201,8,7 * 7 = 47,99.6333333333333,1.78051673225127,easy,low,cnf006,correct,1.15019798080903,high,51,cnf006,-4.10496,-7.011517
18361,response,158,201,28,17 * 7 = 117,67.825,4.29748093150556,hard,low,cnf006,correct,1.15015564567875,high,52,cnf006,4.637693,-3.255089
18719,response,161,200,22,16 * 6 = 96,33.0833333333333,2.38054951000959,hard,high,cnf006,error,1.80006465723272,low,53,cnf006,-2.420077,-16.06239
19077,response,164,201,14,8 * 8 = 64,98.9,2.01411652041133,easy,high,cnf006,correct,0.816734114196151,high,54,cnf006,-4.355824,0.9048033
19435,response,167,200,31,18 * 4 = 72,1.825,2.44740245118737,hard,high,cnf006,error,1.55020144465379,low,55,cnf006,5.029837,2.831065
19793,response,170,201,9,7 * 8 = 56,98.7166666666667,2.13131170265842,easy,high,cnf006,correct,1.11666342732497,high,56,cnf006,-5.363916,-8.908487
20151,response,173,201,20,9 * 9 = 83,99.45,2.2141641152557,easy,low,cnf006,correct,1.31683097186033,high,57,cnf006,5.825096,7.599644
20509,response,176,200,5,6 * 9 = 56,99.5416666666667,2.03103998815641,easy,low,cnf006,error,1.11681127967313,high,58,cnf006,6.918816,-12.76615
20867,response,179,201,18,9 * 7 = 65,87.075,3.01494205545168,easy,low,cnf006,correct,1.16642869194038,high,59,cnf006,1.604041,6.466239
21225,response,182,201,19,9 * 8 = 72,99.6333333333333,2.09811935818288,easy,high,cnf006,correct,1.23370851238724,high,60,cnf006,1.856302,-6.309199
21583,response,185,201,30,17 * 9 = 155,25.2,2.96426498203073,hard,low,cnf006,correct,1.30023816716857,low,61,cnf006,0.49949,8.345205
21941,response,188,201,27,17 * 6 = 102,1,2.38063353882171,hard,high,cnf006,correct,1.30031706450973,low,62,cnf006,5.198647,-2.24072
22299,response,191,201,24,16 * 8 = 128,64.6166666666667,2.61402966920286,hard,high,cnf006,correct,1.3497513452312,med,63,cnf006,3.435107,5.157169
22657,response,194,201,127,7 * 6 = 44,66.9083333333333,2.59717676008586,easy,low,cnf006,correct,1.33365052612498,high,64,cnf006,7.232574,8.364261
23015,response,197,200,106,17 * 4 = 68,1.73333333333333,2.34724042308517,hard,high,cnf006,error,1.4168570144102,low,65,cnf006,12.43172,6.369135
23373,response,200,201,99,9 * 8 = 72,99.6333333333333,3.19702640618198,easy,high,cnf006,correct,1.60026305518113,high,66,cnf006,0.6157992,-7.901093
23731,response,203,201,107,17 * 6 = 102,67.275,1.847712523886,hard,high,cnf006,correct,1.5167688804213,high,67,cnf006,4.005168,1.392582
24089,response,206,201,109,17 * 8 = 136,32.5333333333333,2.09735892945901,hard,high,cnf006,correct,1.43347259017173,low,68,cnf006,1.323425,-8.013135
24447,response,209,201,120,19 * 9 = 173,66.0833333333333,4.78087818447966,hard,low,cnf006,correct,1.31681686011143,med,69,cnf006,0.5959216,-9.788012
24805,response,212,201,104,16 * 8 = 128,34.275,2.28050165844616,hard,high,cnf006,correct,2.33347380906343,med,70,cnf006,-10.2019,-12.13336
25163,response,215,201,97,9 * 6 = 54,99.0833333333333,2.31448297575116,easy,high,cnf006,correct,1.13342877977993,high,71,cnf006,2.655945,12.76686
25521,response,218,200,105,16 * 9 = 146,65.8083333333333,2.86472611408681,hard,low,cnf006,error,1.8170166691998,med,72,cnf006,0.3624914,-5.161642
25879,response,221,201,126,7 * 4 = 26,100,2.93135647533927,easy,low,cnf006,correct,1.00030660897028,high,73,cnf006,11.76881,5.269681
26237,response,224,200,115,18 * 9 = 164,1.18333333333333,3.31312793097459,hard,low,cnf006,error,1.68368506769184,low,74,cnf006,7.761947,-4.712628
26595,response,227,200,119,19 * 8 = 152,1,2.39709035784472,hard,high,cnf006,error,1.60015689663123,low,75,cnf006,7.517225,7.474227
26953,response,232,200,111,18 * 4 = 72,32.9,2.98107651819009,hard,high,cnf006,error,0.983532917802222,low,76,cnf006,-10.44237,-9.33888
27311,response,238,201,124,6 * 8 = 46,99.2666666666667,1.83036955364514,easy,low,cnf006,correct,1.750157634262,high,77,cnf006,3.076507,-7.701897
27669,response,241,201,98,9 * 7 = 65,99.2666666666667,2.59774283203296,easy,low,cnf006,correct,0.800168891437352,high,78,cnf006,-7.915397,-5.690551
28027,response,244,201,113,18 * 7 = 124,32.5333333333333,4.38062359648757,hard,low,cnf006,correct,1.60020340105984,low,79,cnf006,-8.453378,-7.926162
28385,response,247,200,116,19 * 4 = 76,1.36666666666667,2.7647901942255,hard,high,cnf006,error,1.26668340829201,low,80,cnf006,0.7112315,-0.2083536
28743,response,250,201,125,6 * 9 = 54,99.3583333333333,1.94747300969902,easy,high,cnf006,correct,0.900587175390683,high,81,cnf006,-0.3243882,0.6738074
29101,response,253,201,128,7 * 7 = 49,99.3583333333333,2.11464641499333,easy,high,cnf006,correct,0.700337205664255,high,82,cnf006,5.878948,1.427418
29459,response,256,200,103,16 * 7 = 114,65.7166666666667,2.2969450072851,hard,low,cnf006,error,1.00032200361602,med,83,cnf006,13.60006,5.437705
29817,response,259,200,114,18 * 8 = 144,1.09166666666667,2.1794791368302,hard,high,cnf006,error,2.15014730696566,low,84,cnf006,0.5227116,14.71192
30175,response,262,201,122,6 * 6 = 34,99.5416666666667,2.0974708609283,easy,low,cnf006,correct,1.13354616356082,high,85,cnf006,-0.02418927,0.0490564
30533,response,265,201,102,16 * 6 = 96,32.5333333333333,2.08055348694324,hard,high,cnf006,correct,1.66693286481313,low,86,cnf006,8.333549,13.51982
30891,response,268,201,112,18 * 6 = 108,3.2,2.71408136934042,hard,high,cnf006,correct,1.48361053224653,low,87,cnf006,-5.105191,-0.8448903
31249,response,271,201,121,6 * 4 = 26,99.0833333333333,2.14738301560283,easy,low,cnf006,correct,1.10004688927438,high,88,cnf006,12.51511,10.27115
31607,response,274,201,110,17 * 9 = 155,66.2666666666667,3.31406700110529,hard,low,cnf006,correct,1.31691724574193,med,89,cnf006,-0.304837,-5.571412
31965,response,277,201,117,19 * 6 = 114,31.525,2.39747682632878,hard,high,cnf006,correct,1.58350924868137,low,90,cnf006,-4.361441,1.780393
32323,response,280,201,118,19 * 7 = 135,2.28333333333334,3.14834806392901,hard,low,cnf006,correct,1.56705339171458,low,91,cnf006,8.478908,21.70989
32681,response,283,201,123,6 * 7 = 42,99.725,1.84809482295532,easy,high,cnf006,correct,1.11685040756129,high,92,cnf006,-14.23804,-4.681572
33039,response,286,201,108,17 * 7 = 117,99.3583333333333,2.19730030163191,hard,low,cnf006,correct,1.3837724319892,high,93,cnf006,-1.794467,-18.63358
33397,response,289,200,33,18 * 7 = 124,2.375,2.63048520556185,hard,low,cnf006,error,2.06682054849807,low,94,cnf006,-1.714276,2.85505
33755,response,292,201,45,6 * 9 = 54,98.9,1.89806246233638,easy,high,cnf006,correct,0.833730385522358,high,95,cnf006,-2.225233,-8.279968
34113,response,295,201,37,19 * 6 = 114,32.8083333333333,2.09809947339818,hard,high,cnf006,correct,1.0837170756422,low,96,cnf006,0.3179067,0.1962496
34471,response,298,200,57,9 * 6 = 56,99.45,1.93106333655305,easy,low,cnf006,error,0.800229828455485,high,97,cnf006,5.023193,5.418114
34829,response,301,201,46,7 * 4 = 26,99.175,2.39763430017047,easy,low,cnf006,correct,0.866775519214571,high,98,cnf006,-3.137505,5.376376
35187,response,304,200,62,16 * 6 = 94,31.7083333333333,1.88022173335776,hard,low,cnf006,error,1.6335971581284,low,99,cnf006,-1.799852,-3.6828
35545,response,307,200,39,19 * 8 = 152,1,2.93075897265226,hard,high,cnf006,error,1.30016664648429,low,100,cnf006,1.943815,-0.3313282
35903,response,310,201,43,6 * 7 = 42,98.35,1.89809677936137,easy,high,cnf006,correct,0.866662304964848,high,101,cnf006,9.01494,13.30678
36261,response,313,201,47,7 * 6 = 44,99.0833333333333,2.13064781087451,easy,low,cnf006,correct,1.48348160251044,high,102,cnf006,5.253356,-5.126766
36619,response,316,201,54,8 * 8 = 66,100,2.86423541151453,easy,low,cnf006,correct,1.0003418881679,high,103,cnf006,7.754323,2.442294
36977,response,319,201,53,8 * 7 = 56,1.275,3.74751104717143,easy,high,cnf006,correct,1.65017360611819,low,104,cnf006,12.00176,-0.8251105
37335,response,324,201,40,19 * 9 = 173,100,2.54838584491517,hard,low,cnf006,correct,1.05022389511578,high,105,cnf006,-1.159555,-3.829673
37693,response,327,201,52,8 * 6 = 46,87.7166666666667,2.3139355055755,easy,low,cnf006,correct,2.08375075133517,high,106,cnf006,2.651734,-0.2092476
38051,response,330,201,48,7 * 7 = 49,99.5416666666667,2.08078600943554,easy,high,cnf006,correct,0.700222387677059,high,107,cnf006,3.821995,-2.239301
38409,response,333,200,61,16 * 4 = 66,1,2.21394281811081,hard,low,cnf006,error,1.25017206661869,low,108,cnf006,-9.947894,-6.52714
38767,response,336,200,49,7 * 8 = 54,1.64166666666667,3.1138465377735,easy,low,cnf006,error,1.61682891927194,low,109,cnf006,3.201777,1.539389
